,link,date,judge,decision
109,https://www.nycourts.gov/reporter/motions/2024/2024_97109.htm,2024-02-13,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
110,https://www.nycourts.gov/reporter/motions/2024/2024_97110.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
111,https://www.nycourts.gov/reporter/motions/2024/2024_97111.htm,2024-02-28,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
112,https://www.nycourts.gov/reporter/motions/2024/2024_97112.htm,2024-02-13,"Garcia, J.",Disposition: Applications for Criminal Leave to appeal denied
113,https://www.nycourts.gov/reporter/motions/2024/2024_97113.htm,2024-02-08,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal dismissed
114,https://www.nycourts.gov/reporter/motions/2024/2024_97114.htm,2024-02-23,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
115,https://www.nycourts.gov/reporter/motions/2024/2024_97115.htm,2024-02-22,"Halligan, J.",Disposition: Applications for Criminal Leave to appeal denied
116,https://www.nycourts.gov/reporter/motions/2024/2024_97116.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
117,https://www.nycourts.gov/reporter/motions/2024/2024_97117.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
118,https://www.nycourts.gov/reporter/motions/2024/2024_97118.htm,2024-02-23,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
119,https://www.nycourts.gov/reporter/motions/2024/2024_97119.htm,2024-02-29,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
120,https://www.nycourts.gov/reporter/motions/2024/2024_97120.htm,2024-02-26,"Cannataro, J.",Disposition: Applications for Criminal Leave to appeal denied
121,https://www.nycourts.gov/reporter/motions/2024/2024_97121.htm,2024-02-27,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
122,https://www.nycourts.gov/reporter/motions/2024/2024_97122.htm,2024-02-09,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
123,https://www.nycourts.gov/reporter/motions/2024/2024_97123.htm,2024-02-23,"Singas, J.",Disposition: Applications for Criminal Leave to appeal denied
124,https://www.nycourts.gov/reporter/motions/2024/2024_97124.htm,2024-02-09,"Rivera, J.",Disposition: Applications for Criminal Leave to appeal denied
